field_1,Unnamed: 0,구명,단지명,주택유형,세대수,입주개시일,주소,우편번호,전화번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
"62","62",강북구,꿈의숲 롯데캐슬(미아4),재개발행복(리츠2호),"615",2017/03/28,오현로 56(미아동 꿈의숲 롯데캐슬),"1232",,37.6184115650264,127.036475927918,H,송중동,127.033793824171,37.6161289893513
"63","63",강북구,꿈의숲해링턴플레이스(미아9-1),행복(재건축),"1028",2019/09/30,강북구 오현로 45(미아동 3-770),"1155",,37.6169375235603,127.034460650104,H,송중동,127.033793824171,37.6161289893513
"158","158",노원구,월계사슴1,영구임대,"1372",1995/06/29,월계로 372 (월계동 월계사슴1단지아파트),"1905",,37.6292472102426,127.059664124595,H,월계3동,127.069259441759,37.6210148773678
"194","194",동대문구,이문쌍용,재개발,"245",2001/02/21,한천로58길 75-45 (이문동 쌍용아파트),"2423",,37.6015332826351,127.067796621969,H,이문2동,127.065116407676,37.6033794793655
"199","199",동대문구,이문대림(이문3),재개발,"181",2003/06/25,이문로54길 16 (이문동 이문e편한세상아파트),"2407",,37.6048015601149,127.062867408105,H,이문2동,127.065116407676,37.6033794793655
"200","200",동대문구,신이문어울림,재건축,"166",2009/03/31,신이문로 9 (이문동 신이문 금호어울림),"2406",,37.6031629394921,127.063354117613,H,이문2동,127.065116407676,37.6033794793655
"373","373",성북구,종암SK,재개발,"465",1998/12/03,종암로24가길 53 (종암동 SK아파트),"2798",,37.6008411734995,127.037964181836,H,종암동,127.035212918853,37.5990602270364
"377","377",성북구,상월곡동아(상월곡),재개발,"278",2002/09/25,장월로1길 28 (상월곡동 동아에코빌아파트),"2753",,37.6087724936926,127.045611958623,H,월곡2동,127.047886454934,37.6057915694944
"378","378",성북구,월곡두산,재개발,"458",2003/05/20,오패산로 46 (하월곡동 월곡두산위브아파트),"2750",,37.6074738406161,127.038709467417,H,월곡1동,127.035775560243,37.6105530868712
"382","382",성북구,장월SH-VILLE,국민,"254",2006/05/18,한천로101길 54 (장위동 장월 에스에이치빌 1단지),"2758",,37.6227404118122,127.047698413283,H,장위3동,127.056605765307,37.6165491221755
"385","385",성북구,월곡3sh-ville(월곡3),재개발,"288",2008/06/24,성북구 오패산로 90 (하월곡동 래미안월곡아파트),"2741",,37.6099470914336,127.036913604861,H,월곡1동,127.035775560243,37.6105530868712
"386","386",성북구,월곡2sh-ville(월곡2),재개발,"209",2008/10/16,회기로5길 142 (하월곡동 월곡2에스에이치빌),"2794",,37.5975081254608,127.041736791664,H,월곡2동,127.047886454934,37.6057915694944
"389","389",성북구,래미안석관,재개발,"80",2009/07/30,화랑로 214 (석관동 래미안석관),"2790",,37.6091593129038,127.054866914628,H,석관동,127.061437018874,37.6129823955615
"393","393",성북구,래미안종암3차(종암5),재개발,"188",2010/09/01,종암로24가길 80 (종암동 래미안라센트),"2799",,37.5993136713173,127.039226934965,H,종암동,127.035212918853,37.5990602270364
"395","395",성북구,종암2차SK뷰(종암6),재개발,"393",2010/11/01,종암로24길 35 (종암동 종암2차SK뷰아파트),"2798",,37.6014289209143,127.034640459594,H,종암동,127.035212918853,37.5990602270364
"404","404",성북구,꿈의숲코오롱하늘채,재개발행복(리츠2호),"513",2017/10/31,돌곶이로 220(장위동 꿈의숲코오롱하늘채아파트),"2757",,37.6189867339093,127.046528885296,H,장위3동,127.056605765307,37.6165491221755
"407","407",성북구,래미안아트리치(석관2구역),재개발행복(리츠2호),"1091",2019/02/28,성북구 돌곶이로 8길 22(석관동 46-50),"2786",,37.6065432212371,127.062267399383,H,석관동,127.061437018874,37.6129823955615
"408","408",성북구,래미안장위포레카운티(장위1구역),재개발,"939",2019/06/20,성북구 장월로 160(장위동 144-24),"2763",,37.6179215325736,127.052253351246,H,장위3동,127.056605765307,37.6165491221755
"409","409",성북구,장위퍼스트하이,재개발행복(리츠2호),"1562",2019/09/30,성북구 한천로 713(장위동 173-124),"2760",,37.6212857858679,127.051719017992,H,장위3동,127.056605765307,37.6165491221755
"547","547",중랑구,묵동월드메르디앙,재건축,"141",2009/03/31,중랑천로 316 (묵동 묵동월드메르디앙아파트),"2004",,37.6132804037442,127.073338722026,H,묵2동,127.076021528918,37.6096042030758
