field_1,전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역,H/B,행정동,행정동_경도,행정동_위도
"152","0416",미아사거리역,Miasamgeori,4호선,"416",미아사거리역 4호선,서울 강북구 도봉로 지하 50,37.6132861094991,127.030098418544,"0",H,송중동,127.033793824171,37.6161289893513
"153","0417",길음역,Gireum,4호선,"417",길음역 4호선,서울 성북구 동소문로 지하 248,37.603183910563,127.024823216768,"0",H,길음1동,127.019502782008,37.6103983239234
"154","0418",성신여대입구역,Sungshin Women`s Univ.,4호선,"418",성신여대입구역 4호선,서울 성북구 동소문로 지하 102,37.5927179261346,127.016477649743,"1",H,동선동,127.020422471545,37.5939965377109
"161","2639",보문역,Bomun,6호선,"638",보문역 6호선,서울 성북구 보문로 지하 116,37.5853277238848,127.019386983515,"1",H,보문동,127.022809769902,37.5803802977583
"162","2640",안암역,Anam,6호선,"639",안암역 6호선,서울 성북구 고려대로 지하 89,37.5862804833256,127.029213030111,"0",H,안암동,127.021362226117,37.5858333806287
"163","2641",고려대역,Korea Univ.,6호선,"640",고려대역 6호선,서울 성북구 종암로 지하 1,37.590649686622,127.036284948669,"0",H,제기동,127.037818414722,37.5831154639952
"164","2642",월곡역,Wolgok,6호선,"641",월곡역 6호선,서울 성북구 월곡로 지하 107,37.6014210523409,127.041184766468,"0",H,월곡2동,127.047886454934,37.6057915694944
"347","4709",북한산보국문역,Bukhansan Bogungmun,우이신설경전철,"949",북한산보국문역 우이신설경전철,서울 성북구 보국문로 지하 88,37.6121461272569,127.008208009279,"0",H,정릉4동,127.00699953542,37.6133765955324
"348","4710",정릉역,Jeongneung,우이신설경전철,"950",정릉역 우이신설경전철,서울 성북구 아리랑로 지하 122,37.6026876819314,127.013496185509,"0",H,정릉1동,127.016655780772,37.6014465243128
"349","4711",성신여대입구역,Sungshin Women`s Univ.,우이신설경전철,"951",성신여대입구역 우이신설경전철,서울 성북구 동소문로 지하 102,37.5927179261346,127.016477649743,"1",H,동선동,127.020422471545,37.5939965377109
"350","4712",보문역,Bomun,우이신설경전철,"952",보문역 우이신설경전철,서울 성북구 보문로 지하 116,37.5853277238848,127.019386983515,"1",H,보문동,127.022809769902,37.5803802977583
