field_1,Unnamed: 0,주차장id,주차장이름,주소,경도,위도,H/B,행정동,행정동_경도,행정동_위도
"396","1069","26535439",까치공원공영주차장,서울 중랑구 면목동 570,127.087665326379,37.5835574858375,H,면목제3.8동,127.088094854057,37.5829697185521
"397","1070","20517024",사가정공원 공영주차장,서울 중랑구 면목동 1081-1,127.093639655939,37.5807886504695,H,면목제3.8동,127.088094854057,37.5829697185521
"400","1092","25623856",동원시장공영주차장,서울 중랑구 면목동 74-33,127.093107533556,37.5898566625804,H,면목본동,127.087488538133,37.5872805191983
"401","1095","16061560",망우역 부설주차장,서울 중랑구 상봉동 184-39,127.093119379677,37.5993639139135,H,상봉1동,127.087213355959,37.5998477528859
"402","1096","1121348691",봉수대공원 주차장,서울 중랑구 상봉동 12-2,127.091528196111,37.6066244356177,H,상봉1동,127.087213355959,37.5998477528859
"404","1098","25613097",상봉복개 노상공영주차장,서울 중랑구 상봉동 399-4,127.087957489632,37.5940214055264,H,상봉2동,127.083282516153,37.5925021081304
"405","1099","7923164",상봉2동공영주차장,서울 중랑구 상봉동 110-60,127.084225181208,37.593031222341,H,상봉2동,127.083282516153,37.5925021081304
"406","1100","1807903525",노상공영주차장,서울 중랑구 상봉동 400-1,127.090038824474,37.5943063386107,H,상봉2동,127.083282516153,37.5925021081304
"408","1104","261810606",동부갯 노상공영주차장,서울 중랑구 망우동 535-10,127.095764829753,37.5994951436662,H,망우본동,127.101496236064,37.6005715426196
"409","1105","1675212826",맛솜씨노상공영주차장,서울 중랑구 망우동 536-9,127.097226613442,37.5985136707072,H,망우본동,127.101496236064,37.6005715426196
"410","1106","20594654",면목1동공영주차장,서울 중랑구 면목동 1262-1,127.089436924253,37.591881326841,H,면목본동,127.087488538133,37.5872805191983
"411","1107","20590323",망우본동공영주차장,서울 중랑구 망우동 463-8,127.098152555006,37.5965235164761,H,망우본동,127.101496236064,37.6005715426196
"413","1114","27097575",그린존 상봉2동 공영주차장,서울 중랑구 상봉동 110-38,127.084216114675,37.5930240208772,H,상봉2동,127.083282516153,37.5925021081304
"423","1138","959189899",망우3동공영주차장,서울 중랑구 망우동 529-2,127.094917152726,37.5918581262721,H,망우3동,127.098169752646,37.5923753380627
"424","1139","20515950",망우3동주차장,서울 중랑구 망우동 423-8,127.102834691498,37.5922992866358,H,망우3동,127.098169752646,37.5923753380627
"425","1140","16066419",면일초교공영주차장,서울 중랑구 망우동 440,127.099088032023,37.5915141236559,H,망우3동,127.098169752646,37.5923753380627
"426","1141","324168894",그린존 망우3동 공영주차장,서울 중랑구 망우동 529-2,127.094917204219,37.5918986708595,H,망우3동,127.098169752646,37.5923753380627
"429","1144","20514390",노상공영주차장,서울 중랑구 신내동 493-158,127.099213100703,37.6004329294492,H,신내1동,127.09936528756,37.6058747809943
"430","1145","566476356",망우제2공영주차장,서울 중랑구 망우동 353-1,127.10193009397,37.6031660204211,H,망우본동,127.101496236064,37.6005715426196
"431","1146","297962955",동부갯 공영주차장,서울 중랑구 신내동 510-8,127.100255016116,37.6005032272381,H,망우본동,127.101496236064,37.6005715426196
"432","1147","27153091",금란주차장,서울 중랑구 망우동 360-1,127.102201758709,37.5997636463588,H,망우본동,127.101496236064,37.6005715426196
"433","1153","98605779",양원로역24 공영주차장,서울 중랑구 망우동 86-1,127.108271393171,37.6028540367437,H,망우본동,127.101496236064,37.6005715426196
"434","1154","1568480650",우림시장노상공영주차장,서울 중랑구 망우동 542-9,127.099688299574,37.5958780207484,H,망우본동,127.101496236064,37.6005715426196
"437","1178","20514485",늘봄공영주차장,서울 중랑구 면목동 22-12,127.096354820741,37.5898432445114,H,면목제3.8동,127.088094854057,37.5829697185521
