분류,시설명,x좌표,y좌표,법정동,행정동
간이운동장,홍제 야외운동시설,126.949353000000002,37.595018170000003,홍제동,홍제제1동
간이운동장,새소리,127.025559000000001,37.600827000000002,돈암동,동선동
골프연습장,테스트,127.116166600000000,37.521032470000002,방이동,방이1동
간이운동장,홍제동,126.949010999999999,37.595177999999997,홍제동,홍제제1동
간이운동장,홍제교 좌안 상류 간이운동장,126.946342500000000,37.592987809999997,홍제동,홍제제1동
간이운동장,포방교 상류 간이운동장,126.948164000000006,37.598372949999998,홍제동,홍제제1동
간이운동장,대청공원,127.083375000000004,37.492415000000001,일원동,개포2동
간이운동장,반포주공,126.983500000000006,37.501998000000000,반포동,반포본동
간이운동장,장미공원,126.989069999999998,37.505282000000001,반포동,반포본동
간이운동장,주민센터,126.949693999999994,37.593767999999997,홍제동,홍제제1동
간이운동장,푸른공원,126.991237999999996,37.500712000000000,반포동,반포본동
간이운동장,한수공원,126.985769000000005,37.501590999999998,반포동,반포본동
기타시설,홍제농구장,126.949353000000002,37.595018170000003,홍제동,홍제제1동
간이운동장,대청근린공원,127.082651299999995,37.492578119999997,일원동,개포2동
테니스장,오륜테니스장,127.140753099999998,37.513001220000000,방이동,방이1동
간이운동장,일원까치공원,127.086504000000005,37.491615000000003,일원동,개포2동
간이운동장,일원까치공원,127.088196100000005,37.492094770000001,일원동,개포2동
간이운동장,일원목련공원,127.085475000000002,37.491416999999998,일원동,개포2동
간이운동장,역말어린이공원,126.914250999999993,37.606915999999998,역촌동,역촌동
간이운동장,연서어린이공원,126.916663999999997,37.604139000000004,역촌동,역촌동
전천후게이트볼장,홍제게이트볼장,126.947786100000002,37.594718360000002,홍제동,홍제제1동
기타시설,홍제배드민턴장,126.949353000000002,37.595018170000003,홍제동,홍제제1동
간이운동장,반포본동주민센터,126.986158000000003,37.500439999999998,반포동,반포본동
축구장,송파구여성축구장,127.122870300000002,37.525289229999998,방이동,방이1동
간이운동장,부암동청사주변체육시설,126.964686099999994,37.592356819999999,부암동,부암동
수영장,중곡문화체육센터수영장,127.084803399999998,37.567777759999998,중곡동,중곡제1동
간이운동장,홍제천1체육시설,126.961239100000000,37.601585489999998,신영동,부암동
간이운동장,돈암1동 마을마당,127.021174999999999,37.597746000000001,돈암동,동선동
간이운동장,홍제천2체육시설,126.961090400000003,37.600042950000002,신영동,부암동
간이운동장,장위2동 어울쉼터,127.054738000000000,37.612296000000001,장위동,장위제1동
간이운동장,장위2동 감나무쉼터,127.051625000000001,37.614919000000000,장위동,장위제1동
간이운동장,반포4동주민센터,126.986158000000003,37.500349000000000,반포동,반포본동
근린공원,대청근린공원,127.083001899999999,37.493199120000000,일원동,개포2동
어린이공원,성안공원,127.134772999999996,37.531368999999998,성내동,성내제1동
어린이공원,선린공원,127.132711000000000,37.528514780000002,성내동,성내제1동
어린이공원,보람공원,127.131302000000005,37.524717019999997,성내동,성내제1동
기타,올림픽공원,127.115517999999994,37.520341000000002,방이동,방이1동
소공원,부암튼튼공원,126.964166000000006,37.592305000000003,부암동,부암동
기타공원,자투리(녹번)마을마당,126.915550999999994,37.599552000000003,역촌동,역촌동
근린공원,백  련,126.919486000000006,37.608359999999998,역촌동,역촌동
근린공원,신  사,126.915234999999996,37.604686000000001,역촌동,역촌동
어린이공원,대조어린이공원,126.918477999999993,37.601073000000000,역촌동,역촌동
어린이공원,길마어린이공원,126.914237999999997,37.606876000000000,역촌동,역촌동
어린이공원,궁말어린이공원,126.916512999999995,37.608640999999999,역촌동,역촌동
어린이공원,호연어린이공원,126.916651000000002,37.604098000000000,역촌동,역촌동
어린이공원,나  리,126.987331999999995,37.504209000000003,반포동,반포본동
어린이공원,만  남,126.984720999999993,37.502071000000001,반포동,반포본동
어린이공원,푸  른,126.989553999999998,37.500849000000002,반포동,반포본동
어린이공원,초  롱,126.987470999999999,37.499605000000003,반포동,반포본동
소공원,돌이음,127.052576999999999,37.609301199999997,장위동,장위제1동
어린이공원,꽃동산,127.099100000000007,37.591209999999997,망우동,망우본동
어린이공원,달동산,127.095200000000006,37.592170000000003,망우동,망우본동
어린이공원,샛  별,127.100800000000007,37.593359999999997,망우동,망우본동
어린이공원,햇  님,127.095299999999995,37.593570000000000,망우동,망우본동
근린공원,아시아,127.075934700000005,37.510682029999998,잠실동,잠실본동
어린이공원,새소리,127.025381999999993,37.600751000000002,돈암동,동선동
근린공원,성북,127.023635999999996,37.600527999999997,돈암동,동선동
근린공원,개운산,127.025718400000002,37.597412060000003,돈암동,동선동
어린이공원,배나무터공원,127.080271800000006,37.568339549999997,중곡동,중곡제1동
근린공원,홍제근린공원,126.952996999999996,37.594741999999997,홍제동,홍제제1동
소공원,문화소공원,126.948791999999997,37.594544999999997,홍제동,홍제제1동
어린이공원,문화촌어린이공원,126.947350999999998,37.595073999999997,홍제동,홍제제1동
어린이공원,불천어린이공원,126.948142000000004,37.597439510000001,홍제동,홍제제1동
